Review Text,stemming,tokens,weights,total_score,Sentimen
ui lu tuh jelek belajar lagi ama rockstar games patah2 game lu,ui tuh jelek ajar rockstar games patah,"['ui', 'tuh', 'jelek', 'ajar', 'rockstar', 'games', 'patah']","[0, 0, -5, -3, 0, 0, -4]",-12,Negative
"Game nya bagus, viusal character dan lingkungannya juga bagus bgt, tapi sayang sering banget frame drop dan force close🥲",bagus viusal character lingkung bagus sayang frame drop force close,"['bagus', 'viusal', 'character', 'lingkung', 'bagus', 'sayang', 'frame', 'drop', 'force', 'close']","[5, 0, 0, 0, 5, -3, -4, -3, -3, -4]",-7,Negative
optimalisasi patch yg sekarang bagus banget. Dari sering FC dan lag di 60fps sekarang sudah tidak ada sama sekali. nice lah terbaik 👍🏻,optimalisasi patch bagus fc lag fps tidak nice baik,"['optimalisasi', 'patch', 'bagus', 'fc', 'lag', 'fps', 'tidak', 'nice', 'baik']","[-2, 0, 5, 0, -5, -4, -5, 4, 5]",-2,Negative
waktu awal rilis game ini masih sangat ramah untuk HP kelas menengah... hanya saja sekarang jadi makin berat saat bermain pun muncul lag dan patah patah padahal setingan sudah rendah semua,waktu rilis ramah hp kelas tengah berat main muncul lag patah patah ting rendah,"['waktu', 'rilis', 'ramah', 'hp', 'kelas', 'tengah', 'berat', 'main', 'muncul', 'lag', 'patah', 'patah', 'ting', 'rendah']","[0, 3, 5, 0, -3, 2, -4, -2, -3, -5, -4, -4, 0, -5]",-20,Negative
"gacha ku terlalu ampas udah bikin sampai 2 akun dan gada yg bagus tiap kali gacha pasti high pity, pasti rate off dan buat gacha pas udah rate on pasti high pity lagi, aku belum pernah agen limited dapetin rate off ataupun dapat low pity",gacha ku ampas bikin akun tidak bagus gacha high pity rate off gacha pas rate on high pity belum agen limited rate off low pity,"['gacha', 'ku', 'ampas', 'bikin', 'akun', 'tidak', 'bagus', 'gacha', 'high', 'pity', 'rate', 'off', 'gacha', 'pas', 'rate', 'on', 'high', 'pity', 'belum', 'agen', 'limited', 'rate', 'off', 'low', 'pity']","[-3, 0, -3, 0, 0, -5, 5, -3, 0, 0, -2, 0, -3, 3, -2, 0, 0, 0, -2, -3, 0, -2, 0, 0, 0]",-20,Negative
"gk perlu banyak coment. dari segi combat dan char design, gk usah diraguin lagi, salah satu best game dari hoyovers, mungkin setara ama HSR (IMO)",tidak komentar segi combat char design tidak diraguin salah best hoyovers tara hsr imo,"['tidak', 'komentar', 'segi', 'combat', 'char', 'design', 'tidak', 'diraguin', 'salah', 'best', 'hoyovers', 'tara', 'hsr', 'imo']","[-5, 0, -4, 0, 0, 0, -5, 0, -4, 5, 0, 2, 0, 0]",-11,Negative
"aelah hoyo,gak pernah menang rate off gw njer harus rate on terus kalau mau gacha dah lah",alah hoyogak menang rate off njer rate on gacha deh,"['alah', 'hoyogak', 'menang', 'rate', 'off', 'njer', 'rate', 'on', 'gacha', 'deh']","[-4, 0, -5, -2, 0, 0, -2, 0, -3, 0]",-16,Negative
"ini game ga beres, waktu loading nya lama banget",tidak beres waktu loading,"['tidak', 'beres', 'waktu', 'loading']","[-5, 0, 0, -3]",-8,Negative
"woy dev, situ deven ama deadly assaultnya jangan inflasi dongggg, hedeh bikin bad mood aj",woy dev situ deven deadly assaultnya jangan inflasi hedeh bikin bad mood,"['woy', 'dev', 'situ', 'deven', 'deadly', 'assaultnya', 'jangan', 'inflasi', 'hedeh', 'bikin', 'bad', 'mood']","[0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -4, 2]",-5,Negative
Game nya bagus tapi tolong optimalkan loading screen.,bagus tolong optimal loading screen,"['bagus', 'tolong', 'optimal', 'loading', 'screen']","[5, -2, 0, -3, 0]",0,Positive
"balikin akun gua, hoyo anj👎👎👎",balikin akun gua hoyo anjing,"['balikin', 'akun', 'gua', 'hoyo', 'anjing']","[0, 0, -3, 0, -4]",-7,Negative
"Gameplay nya seru, animasi Parry nya bagus, meriah, cerita nya ga terlalu ribet, animasi Parry nya bagus, ramah newbie, event nya ga boring, animasi Parry nya bagus, end game seru dan ga menuntut kesempurnaan, dan animasi Parry nya keren sih.",gameplay seru animasi parry bagus riah cerita tidak ribet animasi parry bagus ramah newbie event tidak boring animasi parry bagus end seru tidak tuntut sempurna animasi parry keren,"['gameplay', 'seru', 'animasi', 'parry', 'bagus', 'riah', 'cerita', 'tidak', 'ribet', 'animasi', 'parry', 'bagus', 'ramah', 'newbie', 'event', 'tidak', 'boring', 'animasi', 'parry', 'bagus', 'end', 'seru', 'tidak', 'tuntut', 'sempurna', 'animasi', 'parry', 'keren']","[2, 5, 0, 0, 5, 3, -4, -5, -4, 0, 0, 5, 5, 0, 0, -5, -3, 0, 0, 5, 0, 5, -5, -3, -3, 0, 0, 5]",8,Positive
game terseru untuk saat ini,seru,['seru'],[5],5,Positive
"game bagus tapi berat banget kalo eksplorasi, tidak seperti kakaknya Genshin atau Honkai",bagus berat eksplorasi tidak kakak genshin honkai,"['bagus', 'berat', 'eksplorasi', 'tidak', 'kakak', 'genshin', 'honkai']","[5, -4, 4, -5, 0, 0, 0]",0,Positive
"anjer co, hollow zero stuck last stage froce close mulu",anjer cowok hollow zero stuck last stage froce close mulu,"['anjer', 'cowok', 'hollow', 'zero', 'stuck', 'last', 'stage', 'froce', 'close', 'mulu']","[-3, 0, 0, -3, -4, 0, 0, 0, -4, -1]",-15,Negative
"35gb, 15gb story 20gb ngerender susu tapi okelah😂👍",gb gb story gb ngerender susu oke,"['gb', 'gb', 'story', 'gb', 'ngerender', 'susu', 'oke']","[-3, -3, 5, -3, 0, -4, 3]",-5,Negative
menurut ku bagus cuma aneh hp udah spek dewa tapi kok gak hd ya Hero dan lain lain nya fps 120 kok gak jugak ram 12 sama jugak gak hd kali mau pakai semua setinggan tinggi semua garik tetap sama,ku bagus aneh hp spek dewa tidak hd hero fps tidak ram tidak hd pakai setinggan tinggi garik,"['ku', 'bagus', 'aneh', 'hp', 'spek', 'dewa', 'tidak', 'hd', 'hero', 'fps', 'tidak', 'ram', 'tidak', 'hd', 'pakai', 'setinggan', 'tinggi', 'garik']","[0, 5, -4, 0, 0, 0, -5, 0, 0, -4, -5, 0, -5, 0, 0, 0, -2, 0]",-20,Negative
mantap,mantap,['mantap'],[5],5,Positive
Kenyang bansos 😛,kenyang bansos,"['kenyang', 'bansos']","[3, -1]",2,Positive
trash as hell,trash as hell,"['trash', 'as', 'hell']","[0, 0, 0]",0,Positive
"Tambahkan fitur auto battle, auto search menuju ketempat mana, biar farming juga g a cape. kalo pas sleep hp, game pause jangan mati",tambah fitur auto battle auto search tempat biar farming tidak capek pas sleep hp pause jangan mati,"['tambah', 'fitur', 'auto', 'battle', 'auto', 'search', 'tempat', 'biar', 'farming', 'tidak', 'capek', 'pas', 'sleep', 'hp', 'pause', 'jangan', 'mati']","[3, 0, 0, 0, 0, 0, -3, -3, 0, -5, -4, 3, 0, 0, 0, -3, -5]",-17,Negative
udah full download setiap mau login harus download datanya kebanyakan download bngt,full download login download data banyak download,"['full', 'download', 'login', 'download', 'data', 'banyak', 'download']","[0, -3, 0, -3, -3, -3, -3]",-15,Negative
"60 fps tapi pas fight kok nurun sih? device udah gahar poco f7 chipset juga kelas atas , naga seri 8",fps pas fight nurun device gahar poco chipset kelas naga seri,"['fps', 'pas', 'fight', 'nurun', 'device', 'gahar', 'poco', 'chipset', 'kelas', 'naga', 'seri']","[-4, 3, 0, 0, 0, 0, 0, 0, -3, 0, 0]",-4,Negative
Semoga bagus,moga bagus,"['moga', 'bagus']","[1, 5]",6,Positive
"males sekarang login FB di hoyo, harus verifikasi akun udah tau login di FB email-nya udh tertaut di FB masih ajah ribet alhasil akun genshin sama zzz jadi mati karena belum tertaut email google,udh di email juga percuma ga di bales 👎🏻",malas login fb hoyo verifikasi akun tau login fb email taut fb ribet alhasil akun genshin mati belum taut email googleudh email tidak balas,"['malas', 'login', 'fb', 'hoyo', 'verifikasi', 'akun', 'tau', 'login', 'fb', 'email', 'taut', 'fb', 'ribet', 'alhasil', 'akun', 'genshin', 'mati', 'belum', 'taut', 'email', 'googleudh', 'email', 'tidak', 'balas']","[-4, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4, 0, -4, 0, 0, 0, -5, -2, -4, 0, 0, 0, -5, -3]",-35,Negative
game gooner final bos,gooner final bos,"['gooner', 'final', 'bos']","[0, -2, 3]",1,Positive
cepetin shunguang sama miyabi rerun ntar ku kasih B5😹,cepetin shunguang miyabi rerun entar ku kasih,"['cepetin', 'shunguang', 'miyabi', 'rerun', 'entar', 'ku', 'kasih']","[0, 0, 0, 0, 0, 0, 1]",1,Positive
"OPTIMALISASINYA MANTAP, GOOD JOB, UDAH GAK LAG KAYA PATCH SEBELUMNYA",optimalisasi mantap good job tidak lag patch,"['optimalisasi', 'mantap', 'good', 'job', 'tidak', 'lag', 'patch']","[-2, 5, 5, 0, -5, -5, 0]",-2,Negative
good,good,['good'],[5],5,Positive
baru nyoba.,coba,['coba'],[-1],-1,Negative
love the story,love the story,"['love', 'the', 'story']","[5, 0, 5]",10,Positive
"Baru beli hp baru trus download game ini dan setting rata kanan, Damnn hoyo sedang memasak 🔥🔥🔥",beli hp download setting rata kanan damnn hoyo masak,"['beli', 'hp', 'download', 'setting', 'rata', 'kanan', 'damnn', 'hoyo', 'masak']","[-3, 0, -3, 0, -4, 0, 0, 0, -2]",-12,Negative
"kenapa sekarang zzz gampang frame drop,padahal dulu aku main gak sampai gini.untuk developer tolong di optimalkan lagi!!",gampang frame droppadahal tidak giniuntuk developer tolong optimal,"['gampang', 'frame', 'droppadahal', 'tidak', 'giniuntuk', 'developer', 'tolong', 'optimal']","[-3, -4, 0, -5, 0, 0, -2, 0]",-14,Negative
Game ini sangat bagus grafik nya sangat bagus tetapi tolong buat developer untuk lebih manusiawi gacha agennya ya dan hadiah event-event yang ada di game ini,bagus grafik bagus tolong developer manusiawi gacha agen hadiah eventevent,"['bagus', 'grafik', 'bagus', 'tolong', 'developer', 'manusiawi', 'gacha', 'agen', 'hadiah', 'eventevent']","[5, 1, 5, -2, 0, 0, -3, -3, -3, 0]",0,Positive
KIKIR,kikir,['kikir'],[4],4,Positive
"aku sangat menyukai gamenya, setelah update, aku harap akan ada update lagi dan menjadi lebih seru",suka update harap update seru,"['suka', 'update', 'harap', 'update', 'seru']","[3, -5, -3, -5, 5]",-5,Negative
"Tolong perbaiki lagi gamenya terkadang force close sendiri, device tablet Xiaomi pad 6s pro. ayolah optimalkan gamenya donk",tolong baik terkadang force close device tablet xiaomi pad pro ayo optimal,"['tolong', 'baik', 'terkadang', 'force', 'close', 'device', 'tablet', 'xiaomi', 'pad', 'pro', 'ayo', 'optimal']","[-2, 5, 3, -3, -4, 0, 0, 0, 0, 0, 4, 0]",3,Positive
Ini game forno,forno,['forno'],[0],0,Positive
"optimasi terpepek,masa setiap patch hapus vulkan Mulu gw mulai patch 1.2,kek developer nggak mau ngurusin optimasinya 💀",optimasi terpepekmasa patch hapus vulkan mulu patch developer tidak urus optimasinya,"['optimasi', 'terpepekmasa', 'patch', 'hapus', 'vulkan', 'mulu', 'patch', 'developer', 'tidak', 'urus', 'optimasinya']","[0, 0, 0, -3, 0, -1, 0, 0, -5, 0, 0]",-9,Negative
Semoga Game nya Ga Serakah Dan Banyak Bansos Agar banner Agen Limited Sempat Di Dapatkan :l,moga tidak serakah bansos banner agen limited dapat,"['moga', 'tidak', 'serakah', 'bansos', 'banner', 'agen', 'limited', 'dapat']","[1, -5, 0, -1, 0, -3, 0, -2]",-10,Negative
super great,super great,"['super', 'great']","[-1, 3]",2,Positive
storynya kepanjangan,storynya panjang,"['storynya', 'panjang']","[0, 2]",2,Positive
"""ponsel anda tidak kompatibel"" padahal game sebelahnya kuat tuh, render ap sih? :(",ponsel tidak kompatibel belah kuat tuh render,"['ponsel', 'tidak', 'kompatibel', 'belah', 'kuat', 'tuh', 'render']","[0, -5, 0, -5, -3, 0, 0]",-13,Negative
game gak jelas masa lagi misi tiba tiba pindah ke bawah mab,tidak misi pindah mab,"['tidak', 'misi', 'pindah', 'mab']","[-5, 0, -3, 0]",-8,Negative
"game wasu, malah dikasih rate off terus wasu",wasu kasih rate off wasu,"['wasu', 'kasih', 'rate', 'off', 'wasu']","[0, 1, -2, 0, 0]",-1,Negative
this was a Relly nice game but i Miss when Zhao was being free Soo i hope you release the Baner because i really need that cute fluffy pink rabit,this was relly nice but miss when zhao was being free soo hope you release the baner because really need that cute fluffy pink rabit,"['this', 'was', 'relly', 'nice', 'but', 'miss', 'when', 'zhao', 'was', 'being', 'free', 'soo', 'hope', 'you', 'release', 'the', 'baner', 'because', 'really', 'need', 'that', 'cute', 'fluffy', 'pink', 'rabit']","[0, 0, 0, 4, 0, -4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",4,Positive
"gem pa ni, dwonload file lma, krain pas udh slesai, tau sruh download file lgi da smpai 5 lbih file yg d dowload. pas udh msuk gime, bnyak crita ini d sruh itu smpai pusing. game gk guna N gk asik",gem dwonload file krain pas slesai tau sruh download file file dowload pas gime crita sruh pusing tidak tidak asik,"['gem', 'dwonload', 'file', 'krain', 'pas', 'slesai', 'tau', 'sruh', 'download', 'file', 'file', 'dowload', 'pas', 'gime', 'crita', 'sruh', 'pusing', 'tidak', 'tidak', 'asik']","[0, 0, 0, 0, 3, 0, -4, 0, -3, 0, 0, 0, 3, 0, 0, 0, -4, -5, -5, 4]",-11,Negative
Lebih bagus dari kikir impact,bagus kikir impact,"['bagus', 'kikir', 'impact']","[5, 4, 0]",9,Positive
"langsung download 32 gb bjir😹, mana storage hp gw ga muat lagi. oke dah, gw terpaksa lanjut main lewat cloud. untuk gamenya, sangat bagus. apalagi VA Englishnya yang benar2 menjiwai",download gb bjir storage hp tidak muat oke deh paksa cloud bagus va englishnya jiwa,"['download', 'gb', 'bjir', 'storage', 'hp', 'tidak', 'muat', 'oke', 'deh', 'paksa', 'cloud', 'bagus', 'va', 'englishnya', 'jiwa']","[-3, -3, 0, 0, 0, -5, 0, 3, 0, -4, 0, 5, 0, 0, 0]",-7,Negative
"zenles zone zero bagus gameplay karakter dan yang lain tapi dari segi gacha sama reward event, bansos game kurang gacha re off mulu tapi gakpapa aku tetep cinta game ini",zenles zone zero bagus gameplay karakter segi gacha reward event bansos kurang gacha re off mulu tidak apa cinta,"['zenles', 'zone', 'zero', 'bagus', 'gameplay', 'karakter', 'segi', 'gacha', 'reward', 'event', 'bansos', 'kurang', 'gacha', 're', 'off', 'mulu', 'tidak', 'apa', 'cinta']","[0, 0, -3, 5, 2, 0, -4, -3, 0, 0, -1, -4, -3, 0, 0, -1, -5, -3, 3]",-17,Negative
"jujur untuk gameplay, story, mekanik, semuanya sangat seru, apalagi sekarang ceritanya balik ke setelan awal, dan untuk sekarang belum terasa powercreep nya, tapi kalo boleh saran, ini tentang tombol EX spesial dan ultimate, kedua tombol itu bakal bagus kalo di berikan icon khusus tiap karakternya, seperti icon skill dan ultimate di genshin impact, biar tampilan tombolnya ga monoton, tapi untuk tombol dash, basic attack, sama tombol switch itu ga perlu di ganti, oke sekian itu aja sih",jujur gameplay story mekanik seru cerita setel belum powercreep saran tombol ex spesial ultimate tombol bagus icon karakter icon skill ultimate genshin impact biar tampil tombol tidak monoton tombol dash basic attack tombol switch tidak ganti oke sekian,"['jujur', 'gameplay', 'story', 'mekanik', 'seru', 'cerita', 'setel', 'belum', 'powercreep', 'saran', 'tombol', 'ex', 'spesial', 'ultimate', 'tombol', 'bagus', 'icon', 'karakter', 'icon', 'skill', 'ultimate', 'genshin', 'impact', 'biar', 'tampil', 'tombol', 'tidak', 'monoton', 'tombol', 'dash', 'basic', 'attack', 'tombol', 'switch', 'tidak', 'ganti', 'oke', 'sekian']","[1, 2, 5, 0, 5, -4, 0, -2, 0, -3, 0, -1, 4, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, -3, -3, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -3, 3, 0]",-4,Negative
"di versi 2.7 saat main di HP poco f7, lag nya makin parah biarpun pakek setingan kiri semua, klo bisa segera diperbaiki",versi hp poco lag parah biarpun pakai ting kiri baik,"['versi', 'hp', 'poco', 'lag', 'parah', 'biarpun', 'pakai', 'ting', 'kiri', 'baik']","[0, 0, 0, -5, -5, -3, 0, 0, -3, 5]",-11,Negative
"Tolong diperbaiki, untuk sekarang saya tidak bisa bermain dengan lancar. FPS maksimal kena di 27 padahal kemaren sebelum update kena di 60",tolong baik tidak main lancar fps maksimal kemarin update,"['tolong', 'baik', 'tidak', 'main', 'lancar', 'fps', 'maksimal', 'kemarin', 'update']","[-2, 5, -5, -2, -2, -4, 3, 0, -5]",-12,Negative
"walaupun masih frame drop parah tapi untuk freez atau keluar sendiri sudah tidak, thanks untuk optimalisasi nya,",frame drop parah freez tidak thanks optimalisasi,"['frame', 'drop', 'parah', 'freez', 'tidak', 'thanks', 'optimalisasi']","[-4, -3, -5, 0, -5, 4, -2]",-15,Negative
"Game yang sangat sempurna, yang kasih bintang 1 harap upgrade smart phone kalian, sadar diri",sempurna kasih bintang harap upgrade smart phone sadar,"['sempurna', 'kasih', 'bintang', 'harap', 'upgrade', 'smart', 'phone', 'sadar']","[-3, 1, 0, -3, 0, 0, 0, -1]",-6,Negative
dari segi game play nya seru cuma minta tambahin event nya aja.sama di lancarin lagi game nya.kadang kadang sering kekuar sendiri,segi play seru tambah event ajasama lancarin nyakadang kadang kuar,"['segi', 'play', 'seru', 'tambah', 'event', 'ajasama', 'lancarin', 'nyakadang', 'kadang', 'kuar']","[-4, 0, 5, 3, 0, 0, 0, 0, 3, 0]",7,Positive
"Bansos elit menang rate off sulit, game pembodohan",bansos elit menang rate off sulit bodoh,"['bansos', 'elit', 'menang', 'rate', 'off', 'sulit', 'bodoh']","[-1, 0, -5, -2, 0, -5, 0]",-13,Negative
game sampah hard pity terus,sampah hard pity,"['sampah', 'hard', 'pity']","[-4, -5, 0]",-9,Negative
akun gw kemana ini kenapa ngulang lagi dari awal aneh banget nih game,akun mana ngulang aneh,"['akun', 'mana', 'ngulang', 'aneh']","[0, 0, 0, -4]",-4,Negative
"capek bgt main ini game , pity udh hard mulu kalah pula . game bagus tp sistem gachanya kek monyet terimakasih sudah menemani selama hampir 2 tahun ini",capek pity hard mulu kalah bagus sistem gachanya monyet terimakasih tani tahun,"['capek', 'pity', 'hard', 'mulu', 'kalah', 'bagus', 'sistem', 'gachanya', 'monyet', 'terimakasih', 'tani', 'tahun']","[-4, 0, -5, -1, -4, 5, -4, 0, -3, 5, 0, 0]",-11,Negative
lupa rating bejire,lupa rating bejire,"['lupa', 'rating', 'bejire']","[-3, 0, 0]",-3,Negative
best gooner game walaupun graphic di mobile kurang tapi gameplay bagus,best gooner graphic mobile kurang gameplay bagus,"['best', 'gooner', 'graphic', 'mobile', 'kurang', 'gameplay', 'bagus']","[5, 0, 1, 0, -4, 2, 5]",9,Positive
"tolong banget nih hoyo, tolong lebih profesional dalam mendesain karakter, lebih kreatif, pilih ilustrator untuk bagian desain karakter dengan benar, promia, lucia, cissia, yidhari adalah karakter dengan desain terburuk",tolong hoyo tolong profesional desain karakter kreatif pilih ilustrator desain karakter promia lucia cissia yidhari karakter desain buruk,"['tolong', 'hoyo', 'tolong', 'profesional', 'desain', 'karakter', 'kreatif', 'pilih', 'ilustrator', 'desain', 'karakter', 'promia', 'lucia', 'cissia', 'yidhari', 'karakter', 'desain', 'buruk']","[-2, 0, -2, 0, 4, 0, 4, -2, 0, 4, 0, 0, 0, 0, 0, 0, 4, -5]",5,Positive
Thanks for the S Rank Billy I'm gonna clank him,thanks for the rank billy im gon na clank him,"['thanks', 'for', 'the', 'rank', 'billy', 'im', 'gon', 'na', 'clank', 'him']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,Positive
ini game nya udah bagus cuman di optimalin lagi biar gak ngeleg pas lawan boss atau drop fps biasanya efek nya yang suka bikin drop jadi kalo bisa kurangi (Edit:udah bagus ini game nya udah stabil lumayan jadi gak terlalu parah drop nya sekarang semoga game nya makin maju... mungkin permasalahan nya masih di size game nya pasti kedepan nya ini game bakalan berat size nya itu permasalahan buat di mobile aja tapi player pc pasti aman saja👍).,bagus cuman optimalin biar tidak ngeleg pas lawan bos drop fps efek suka bikin drop kurang editudah bagus stabil lumayan tidak parah drop moga maju masalah size depan berat size masalah mobile player pc aman,"['bagus', 'cuman', 'optimalin', 'biar', 'tidak', 'ngeleg', 'pas', 'lawan', 'bos', 'drop', 'fps', 'efek', 'suka', 'bikin', 'drop', 'kurang', 'editudah', 'bagus', 'stabil', 'lumayan', 'tidak', 'parah', 'drop', 'moga', 'maju', 'masalah', 'size', 'depan', 'berat', 'size', 'masalah', 'mobile', 'player', 'pc', 'aman']","[5, 0, 0, -3, -5, 0, 3, -4, 3, -3, -4, 3, 3, 0, -3, -4, 0, 5, 3, -2, -5, -5, -3, 1, 0, -4, -3, 0, -4, -3, -4, 0, 0, 0, 2]",-31,Negative
"hoyo sekarang minim inovasi setiap update gitu² aja maksudnya update yang bener lah masa cuman nambahin event 1/2 doang sedangkan benner gacha 4 gak seimbang coy sedangkan konten HDD gak pernah update, open world gak pernah update, quest agen rahasia gak pernah update, gameplay TV bamboo gak pernah update jadi setiap update,update yg benerlah gameplaynya jangan gitu² aja sebagai endgame ya gamenya cuman jadi dailyquest saran aku jadi tolong update yang benar biar gameplay awal terasa pernah ada",hoyo minim inovasi update maksud update cuman nambahin event doang benner gacha tidak imbang coy konten hdd tidak update open world tidak update quest agen rahasia tidak update gameplay tv bamboo tidak update updateupdate benerlah gameplaynya jangan endgame cuman dailyquest saran tolong update biar gameplay,"['hoyo', 'minim', 'inovasi', 'update', 'maksud', 'update', 'cuman', 'nambahin', 'event', 'doang', 'benner', 'gacha', 'tidak', 'imbang', 'coy', 'konten', 'hdd', 'tidak', 'update', 'open', 'world', 'tidak', 'update', 'quest', 'agen', 'rahasia', 'tidak', 'update', 'gameplay', 'tv', 'bamboo', 'tidak', 'update', 'updateupdate', 'benerlah', 'gameplaynya', 'jangan', 'endgame', 'cuman', 'dailyquest', 'saran', 'tolong', 'update', 'biar', 'gameplay']","[0, -3, 4, -5, -1, -5, 0, 0, 0, -1, 0, -3, -5, -3, 0, 0, 0, -5, -5, -3, 0, -5, -5, 0, -3, -2, -5, -5, 2, 0, 0, -5, -5, 0, 0, 0, -3, 0, 0, 0, -3, -2, -5, -3, 2]",-82,Negative
gamenya bagus cuman untuk karakter perempuannya terlalu terbuka dan memancing hasrrat laki laki tolong di buat untuk lebih tertutup dan tidak vulgar yang biasa biasa aja gitu,bagus cuman karakter perempuan buka pancing hasrrat laki laki tolong tutup tidak vulgar,"['bagus', 'cuman', 'karakter', 'perempuan', 'buka', 'pancing', 'hasrrat', 'laki', 'laki', 'tolong', 'tutup', 'tidak', 'vulgar']","[5, 0, 0, 0, -3, 0, 0, 0, 0, -2, -2, -5, -3]",-10,Negative
jelek,jelek,['jelek'],[-5],-5,Negative
"akhirnya setelah sekian lama,dari awal rilis baru sekarang layak di maenin di ROG7. kenapa gw bilang gitu soalnya buat ngeliatin dialog di cerita nya Zhu Yuan & Qing yi aja bisa force close bjir,dari awal rilis maen masih stuck disitu doank,maen cuman buat daily aja, saking buruknya optimasi nih gim",sekian lamadari rilis layak maenin rog bilang lihat dialog cerita zhu yuan qing yi force close bjirdari rilis stuck situ doankmaen cuman daily saking buruk optimasi gim,"['sekian', 'lamadari', 'rilis', 'layak', 'maenin', 'rog', 'bilang', 'lihat', 'dialog', 'cerita', 'zhu', 'yuan', 'qing', 'yi', 'force', 'close', 'bjirdari', 'rilis', 'stuck', 'situ', 'doankmaen', 'cuman', 'daily', 'saking', 'buruk', 'optimasi', 'gim']","[0, 0, 3, -5, 0, 0, 0, 3, -3, -4, 0, 0, 0, 0, -3, -4, 0, 3, -4, 0, 0, 0, 0, 0, -5, 0, 0]",-19,Negative
"sebagai player 1.0, sekarang game nya udh bagus bngt, tapi vibes zzz sekarang itu udh ngk kyk dulu, waktu awal rilis zenless itu, kyk pertama kali masuk zenless itu serasa seger bngt main game ini, sekarang yaaa semakin kedepan semakin dark Lore nya, beda Ama dulu itu kesan story nya kyk lebih ke arah action dan standar Lore. tapi kalo sekarang, lore zenless justru lebih memilih Lore yang lebih agak gelap, karena gegara hollow yang bikin bnyk orng bermutasi dan para NPC yang jadi boss fight.",player bagus vibes tidak waktu rilis zenless zenless serasa segar depan dark lore beda kesan story arah action standar lore lore zenless pilih lore gelap gegara hollow bikin mutasi npc bos fight,"['player', 'bagus', 'vibes', 'tidak', 'waktu', 'rilis', 'zenless', 'zenless', 'serasa', 'segar', 'depan', 'dark', 'lore', 'beda', 'kesan', 'story', 'arah', 'action', 'standar', 'lore', 'lore', 'zenless', 'pilih', 'lore', 'gelap', 'gegara', 'hollow', 'bikin', 'mutasi', 'npc', 'bos', 'fight']","[0, 5, 0, -5, 0, 3, 0, 0, 0, 4, 0, 0, 0, -2, 0, 5, -4, 0, -2, 0, 0, 0, -2, 0, -4, -3, 0, 0, 0, 0, 3, 0]",-2,Negative
"thanks telah di fix Bug versi 2.7, sekarang main jadi lebih smooth, di highest.",thanks fix bug versi smooth highest,"['thanks', 'fix', 'bug', 'versi', 'smooth', 'highest']","[4, 0, -5, 0, 3, 0]",2,Positive
"makin lama makin boring, powercreep nya udah setara hsr. kalau mau full star konten end game harus pull char baru. sekelas void hunter yang baru rilis aja udah ga kuat lawan boss baru versi ini. ga paham lagi harus gimana nyelesain konten end game nya yang jadi ladang poly f2p",boring powercreep tara hsr full star konten end pull char kelas void hunter rilis tidak kuat lawan bos versi tidak paham selesai konten end ladang poly fp,"['boring', 'powercreep', 'tara', 'hsr', 'full', 'star', 'konten', 'end', 'pull', 'char', 'kelas', 'void', 'hunter', 'rilis', 'tidak', 'kuat', 'lawan', 'bos', 'versi', 'tidak', 'paham', 'selesai', 'konten', 'end', 'ladang', 'poly', 'fp']","[-3, 0, 2, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 3, -5, -3, -4, 3, 0, -5, 0, -2, 0, 0, -4, 0, 0]",-21,Negative
game jual nsfw doang kalau ga ada nsfw gamenya udah mati,jual nsfw doang tidak nsfw mati,"['jual', 'nsfw', 'doang', 'tidak', 'nsfw', 'mati']","[1, 0, -1, -5, 0, -5]",-10,Negative
tambahin fitur ON/OFF HITSTOP nya dong,tambah fitur onoff hitstop,"['tambah', 'fitur', 'onoff', 'hitstop']","[3, 0, 0, 0]",3,Positive
Gacha Saya Ampas Tolong Perbaiki,gacha ampas tolong baik,"['gacha', 'ampas', 'tolong', 'baik']","[-3, -3, -2, 5]",-3,Negative
game nya bagus dari segi story nya bagus semangat ya,bagus segi story bagus semangat,"['bagus', 'segi', 'story', 'bagus', 'semangat']","[5, -4, 5, 5, 1]",12,Positive
"game nya bagus tapi,kok sejak dari v 2.0 sampai sekarang kok sering patah ²dah padahal hpnya sudah oke. mau grafik diturunkan rendah tetap sama aja. padahal main game yg lain enak aja pas main zzz patah/leg tolong dong di optimalin... biar seru mainnya tanpa kendala 🙏",bagus tapikok patah deh hpnya oke grafik turun rendah pas patahleg tolong optimalin biar seru main tanpa kendala,"['bagus', 'tapikok', 'patah', 'deh', 'hpnya', 'oke', 'grafik', 'turun', 'rendah', 'pas', 'patahleg', 'tolong', 'optimalin', 'biar', 'seru', 'main', 'tanpa', 'kendala']","[5, 0, -4, 0, 0, 3, 1, -3, -5, 3, 0, -2, 0, -3, 5, -2, 0, 0]",-2,Negative
Game nya sangat bagus(⁠✯⁠ᴗ⁠✯⁠),bagus,['bagus'],[5],5,Positive
